Deutsch,Türkçe
Die Zeit,Zaman
Der Mann,Adam
Die Hand,Eli
Der Tag,Gün
Der Weg,Yol
Das Auge,Göz
Das Ding,Şey
Der Kopf,Kafa
Das Jahr,Yıl
Das Zimmer,Oda
Die Tür,Kapı
Die Frau,Kadın
Das Gesicht,Yüz
Die Mutter,Anne
Das Volk,İnsanlar
Die Nacht,Gece
Das Haus,Ev
Der Vater,Baba
Das Leben,Hayat
Der Rücken,Sırt
Die Stimme,Ses
Das Mädchen,Kız
Der Ort,Yer
Der Junge,Genç
Das Auto,Araba
Die Seite,Sayfa
Der Arm,Kol
Das Kind,Çocuk
Das Wort,Kelime
Der Moment,Anı
Das Haar,Saç
Der Fuß,Ayak
Das Wasser,Su
Das Licht,Işık
Die Welt,Dünya
Der Name,İsim
Der Freund,Erkek arkadaş
Das Fenster,Pencere
Der Körper,Vücut
Der Tisch,Masa
Der Morgen,Sabah
Das Bett,Yatak
Die Mauer,Duvar
Die Straße,Sokak
Die Schule,Okul
Die Luft,Hava
Der Boden,Zemin
Die Stunde,Saat
Das Ende,Son
Die Familie,Aile
Der Kerl,Adam
Die Art,Yol
Die Minute,Dakika
Die Geschichte,Tarih
Der Gott,Tanrı
Die Woche,Hafta
Die Arbeit,İş
Die Schulter,Omuz
Der Teil,Parça
Der Geist,Hayalet
Das Buch,Kitap
Der Finger,Parmak
Der Mund,Ağız
Das Kind,Çocuk
Das Glas,Cam
Der Baum,Ağaç
Der Klang,Ses
Die Linie,Çizgi
Die Ehefrau,Eş
Das Herz,Kalp
Das Geld,Para
Das Telefon,Telefon
Das Aussehen,Görünüm
Das Bein,Bacak
Der Stuhl,Sandalye
Das Büro,Ofis
Der Bruder,Kardeş
Die Frage,Soru
Die Stadt,Şehir
Der Monat,Ay
Das Baby,Bebek
Das Zuhause,Ev
Der Hund,Köpek
Die Straße,Sokak
Die Idee,Fikir
Die Küche,Mutfak
Das Ganze,Bütün
Der Sohn,Oğul
Der Beruf,İş
Das Papier,Kağıt
Die Schwester,Kızkardeş
Das Lächeln,Gülümseme
Der Punkt,Nokta
Der Gedanke,Düşünce
Die Liebe,Aşk
Die Stadt,Şehir
Der Tod,Ölüm
Der Boden,Zemin
Die Anderen,Diğerleri
Das Feuer,Ateş
Der Schritt,Adım
Das Blut,Kan
Die Tatsache,Gerçek
Der Atem,Nefes
Die Lippe,Dudak
Die Sonne,Güneş
Das Gebäude,Bina
Die Anzahl,Numara
Der Ehemann,Koca
Das Elternteil,Ebeveyn
Die Ecke,Köşe
Das Problem,Sorun
Das Ehepaar,Çift
Die Tochter,Kız
Der Beutel,Çanta
Die Hölle,Cehennem
Die Rast,Geri kalan
Das Geschäft,İş
Der Himmel,Gökyüzü
Die Kiste,Kutu
Die Person,Kişi
Der Grund,Nedeni
Das Recht,Doğru
Die Haut,Cilt
Der Vater,Baba
Der Fall,Dava
Das Stück,Parça
Der Doktor,Doktor
Die Ecke,Köşe
Die Mama,Anne
Das Bild,Fotoğraf
Der Sinn,Anlam
Das Ohr,Kulak
Der Zweite,İkinci
Die Dame,Bayan
Der Hals,Boyun
Der Wind,Rüzgar
Der Schreibtisch,Masa
Die Waffe,Silah
Der Stein,Taş
Der Kaffee,Kahve
Das Schiff,Gemi
Die Erde,Dünya
Das Essen,Yemek
Das Pferd,At
Das Feld,Alan
Der Krieg,Savaş
Der Nachmittag,Öğleden sonra
Die Sir,Efendim
Der Raum,Boşluk
Der Abend,Akşam
Der Brief,Mektup
Die Bar,Çubuk
Der Traum,Rüya
Die Wohnung,Apartman
Die Brust,Göğüs
Das Spiel,Oyun
Der Sommer,Yaz
Der Grund,Nedeni
Die Stille,Sessizlik
Die Spitze,Zirve
Der Fels,Kaya
Die Macht,Güç
Die Kleider,Kıyafetler
Das Schild,Kalkan
Die Aufmerksamkeit,Dikkat
Die Musik,Müzik
Der Staat,Eyalet
Die Tasche,Cep
Das Abendessen,Akşam yemeği
Die Halle,Salon
Der Schmerz,Acı
Das Alter,Yaş
Der Fluss,Nehir
Die Chance,Şans
Die Nase,Burun
Der Schatten,Gölge
Die Polizei,Polis
Das Gedächtnis,Hafıza
Die Farbe,Renk
Das Knie,Diz
Das Holz,Odun
Das Hemd,Gömlek
Die Party,Parti
Das Land,Ülke
Der Lkw,Kamyon
Der Zahn,Diş
Die Rechnung,Fatura
Die Szene,Sahne
Das Land,Ülke
Der Stern,Yıldız
Der Vogel,Kuş
Das Schlafzimmer,Yatak odası
Der Onkel,Amca
Die Art,Yol
Die Gruppe,Grup
Die Wahrheit,Doğrusu
Die Schwierigkeiten,Zorluklar
Die Menge,Tutar
Der Bahnhof,İstasyon
Die Reiß,Gözyaşı
Die Klasse,Sınıf
Das Meer,Deniz
Das Tier,Hayvan
Das Zentrum,Merkez
Das Gefühl,Duygu
Das Geschäft,İş
Der Berg,Dağ
Die Nachrichten,Haberler
Der Schuh,Ayakkabı
Die Katze,Kedi
Der Bildschirm,Ekran
Die Flasche,Şişe
Der Anruf,Çağrı
Die Lebenden,Yaşam
Die Wange,Yanak
Der Schüler,Öğrenci
Der Ball,Top
Die Sehenswürdigkeit,Görme
Der Hügel,Tepe
Das Unternehmen,Şirket
Die Kirche,Kilise
Der Regen,Yağmur
Der Anzug,Takım elbise
Der Eine,Tek
Die Richtung,Yön
Der Wille,Vasiyetname
Der Hals,Boyun
Die Mitte,Orta
Die Antwort,Cevap
Das Zeug,Ekip
Das Krankenhaus,Hastane
Die Kamera,Kamera
Das Kleid,Elbise
Die Karte,Harita
Der Hof,Yarda
Die Dunkelheit,Karanlık
Die Scheiße,Bok
Das Bild,Fotoğraf
Die Maschine,Makine
Die Distanz,Mesafe
Das Gebiet,Alan
Der Erzähler,Seslendiren
Das Eis,Buz
Der Schnee,Kar
Die Notiz,Not
Der Spiegel,Ayna
Der König,Kral
Die Angst,Korku
Der Offizier,Memur
Das Loch,Delik
Der Schuss,Atış
Der Wächter,Gardiyan
Die Unterhaltung,Konuşma
Das Boot,Bot
Das System,Sistem
Die Pflege,Bakım
Die Bit,Biraz
Der Film,Film
Der Knochen,Kemik
Die Seite,Sayfa
Der Kapitän,Kaptan
Die Tante,Teyze
Dunkelheit,Karanlık
Die Kontrolle,Kontrol
Das Getränk,İçecek
Das Hotel,Otel
Der Mantel,Ceket
Die Treppen,Merdivenler
Die Bestellung,Emir
Die Rose,Gül
Der Fehl,Sahte
Der Hut,Şapka
Das Gold,Altın
Die Zigarette,Sigara
Die Wolke,Bulut
Die Aussicht,Görünüm
Der Fahrer,Sürücü
Die Tasse,Fincan
Die Figur,Figür
Der Ausdruck,İfade
Der Pfad,Yol
Der Schlüssel,Anahtar
Der Computer,Bilgisayar
Die Blume,Çiçek
Der Ring,Yüzük
Das Bad,Banyo
Das Metall,Metal
Der Mond,Ay
Das Lied,Şarkı
Der Soldat,Asker
Das Radio,Radyo
Die Geschichte,Tarih
Die Welle,Dalga
Der Plan,Plan
Das College,Kolej
Der Fisch,Balık
Der Garten,Bahçe
Der Zug,Tren
Das Geschäft,İş
Der Polizist,Polis
Die Kunst,Sanat
Das Bier,Bira
Der Nord,Kuzey
Die Insel,Ada
Der Bus,Otobus
Der Geruch,Koku
Das Geräusch,Gürültü
Die Mama,Anne
Der Park,Park
Der Süden,Güney
Das Paar,Çift
Der Herr,Centilmen
Der Teller,Tabak
Die Jacke,Ceket
Die Hilfe,Yardım
Der Papa,Baba
Das Gras,Çimen
Die Dank,Teşekkürler
Die Hitze,Sıcaklık
Der Schlaf,Uyumak
Das Gehirn,Beyin
Der Service,Hizmet
Die Reise,Yolculuk
Der Beat,Ritim
Das Messer,Bıçak
Der Platz,Boşluk
Die Nachricht,Mesaj
Die Note,Sınıf
Der Lehrer,Öğretmen
Der Blick,Görünüm
Das Dorf,Köy
Der Winter,Kış
Die Front,Ön
Das Gesetz,Kanun
Die Oberfläche,Yüzey
Die Bank,Banka
Das Team,Takım
Das Maximum,Maksimum
Die Position,Pozisyon
Der Bauch,Karın
Die Wende,Dönüş
Der Westen,Batı
Das Mittagessen,Öğle yemeği
Der Wechsel,Değişim
Die Kreatur,Yaratık
Die Seele,Ruh
Das Blatt,Yaprak
Die Show,Gösteri
Die Gate,Kapı
Die Palme,Palmiye Ağacı
Der Kunststoff,Plastik
Die Kraft,Kuvvet
Der Strand,Sahil
Der Präsident,Başkan
Die Form,Biçim
Der Rauch,Duman
Das Rad,Tekerlek
Das Silber,Gümüş
Das Dach,Çatı
Das Gewicht,Ağırlık
Die Zunge,Dil
Der Tee,Çay
Die Strecke,Rota
Der Winkel,Açı
Die Form,Biçim
Der Ton,Ses
Der Kreis,Daire
Der Frühling,İlkbahar
Die Vorhalle,Sundurma
Das Blatt,Yaprak
Das Mitglied,Üye
Das Schwimmbecken,Havuz
Das Bedürfnis,İhtiyaç
Die Hoffnung,Umut
Der See,Göl
Die Brust,Göğüs
Die Überraschung,Süpriz
Die Interesse,İlgi
Der Boden,Zemin
Der Geist,Hayalet
Der Block,Blok
Die Sprache,Dil
Die Brücke,Köprü
Der Staub,Toz
Die Zelle,Hücre
Der Wein,Şarap
Das Boot,Bot
Die Wahl,Seçim
Die Reihe,Seri
Das Gespräch,Konuşma
Das Flugzeug,Uçak
Die Uhr,Saat
Die Information,Bilgi
Die Großmutter,Büyükanne
Der Flügel,Kanat
Die Bob,Bob
Der Club,Kulüp
Der Meister,Usta
Die Gnade,Lütuf
Der Wald,Orman
Die Größe,Boyut
Der Satz,Cümle
Die Ehe,Evlilik
Die Stirn,Alın
Der Sturm,Fırtına
Die Türöffnung,Kapı Açılış
Die Situation,Durum
Der Zähler,Sayaç
Der Nachbar,Komşu
Das Foto,Fotoğraf
Die Bühne,Sahne
Das Treffen,Toplantı
Die Krankenschwester,Hemşire
Die Sicherheit,Güvenlik
Die Waffe,Silah
Das Ereignis,Olay
Die Decke,Battaniye
Der Motor,Motor
Das Geschenk,Hediye
Das Restaurant,Restorant
Die Tafel,Beyaz tahta
Der Flur,Koridor
Die Armee,Ordu
Der Aufwand,Çaba
Der Osten,Doğu
Der Agent,Ajan
Die Zukunft,Gelecek
Die Hose,Pantolon
Das Leder,Deri
Der Flug,Uçuş
Das Geschlecht,Cinsiyet
Das Gericht,Mahkeme
Der Kurs,Kurs
Der Dreck,Kir
Das Ei,Yumurta
Das Kinn,Çene
Der Fremde,Yabancı
Die Freude,Eğlence
Das Detail,Detay
Die Besatzung,Ekip
Der Herbst,Sonbahar
Der Gast,Misafir
Das Erlebnis,Deneyim
Der Witz,Şaka
Der Sand,Kum
Die Faust,Yumruk
Die Aktion,Eylem
Das Wandern,Yürüyüş
Die Hochzeit,Düğün
Der Deal,Anlaşma
Die Natur,Doğa
Der Planet,Gezegen
Der Cousin,Kuzen
Die Bewegung,Hareket
Das Fleisch,Et
Der Datensatz,Veri kaydı
Das Camp,Kamp
Die Zeitung,Gazete
Der Strahl,Işın
Der Mensch,İnsan
Das Sofa,Koltuk
Die Bewegung,Hareket
Der Großvater,Büyükbaba
Die Fotografie,Fotoğraf
Das Geheimnis,Sır
Die Schönheit,Güzellik
Das Vorhandensein,Varlık
Die Glocke,Çan
Die Volks,İnsanlar
Der Knopf,Düğme
Die Liste,Liste
Das Level,Seviye
Das Datum,Tarih
Das Thema,Konu
Der Unterschied,Fark
Die Pause,Mola
Der Van,Karavan
Die Klinge,Kılıç
Das Fernsehen,Televizyon
Die Titelseite,kapak
Die Vergangenheit,Geçmiş
Der Bauernhof,Çiftlik
Die Runden,Turlar
Die Band,Müzik grubu
Der Anwalt,Avukat
Das Magazin,Dergi
Der Ast,Şube
Der Rahmen,Çerçeve
Das Deck,Güverte
Der Effekt,Etki
Der Tanz,Dans
Die Sicht,Görünüm
Das Gespenst,Hayalet
Der Esel,Eşek
Der Charakter,Karakter
Der Blick,Görünüm
Das Auf Wiedersehen,O hoşçakal
Das Park,Park
